Nit;Pho;Dox;Ppn;Sst;Chl;Sal
16.26;2.99;251.36;22.06;14.10;11.12;16.46
14.90;3.10;251.38;22.12;14.07;11.07;16.45
13.69;3.21;250.99;22.10;14.05;10.91;16.44
12.98;3.33;250.90;22.01;14.03;10.73;16.42
13.10;3.47;250.56;22.05;14.01;10.56;16.39
13.87;3.63;250.44;22.07;13.96;10.36;16.35
14.81;3.77;250.30;22.91;13.89;10.49;16.29
15.53;3.88;250.23;23.24;13.82;10.84;16.25
15.70;3.95;250.00;23.04;13.75;11.34;16.24
15.35;3.95;250.62;22.61;13.70;11.67;16.26
